senti_score,
Sentiment(polarity=0.016666666666666646, subjectivity=0.4666666666666666)
Sentiment(polarity=-0.10740740740740741, subjectivity=0.22129629629629632)
Sentiment(polarity=0.0021990740740740664, subjectivity=0.4582175925925926)
Sentiment(polarity=0.185, subjectivity=0.39)
Sentiment(polarity=-0.1, subjectivity=0.0)
Sentiment(polarity=0.5, subjectivity=0.5)
Sentiment(polarity=0.050000000000000044, subjectivity=0.85)
Sentiment(polarity=-0.036363636363636355, subjectivity=0.6553030303030303)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=-0.6, subjectivity=0.8)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=-0.325, subjectivity=0.675)
Sentiment(polarity=-0.18333333333333335, subjectivity=0.35)
Sentiment(polarity=0.06043956043956043, subjectivity=0.4540293040293041)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.0, subjectivity=0.125)
Sentiment(polarity=-0.2, subjectivity=0.23333333333333334)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.10555555555555557, subjectivity=0.44305555555555554)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=-0.55, subjectivity=0.9)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.8, subjectivity=0.4)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=-0.375, subjectivity=0.575)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=-0.39999999999999997, subjectivity=0.7000000000000001)
Sentiment(polarity=0.8, subjectivity=0.4)
Sentiment(polarity=0.16666666666666666, subjectivity=0.26666666666666666)
Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)
Sentiment(polarity=0.2, subjectivity=0.5)
Sentiment(polarity=0.10454545454545454, subjectivity=0.38)
Sentiment(polarity=0.65, subjectivity=0.48125)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.17082852332852333, subjectivity=0.45565416065416076)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.2, subjectivity=0.2)
Sentiment(polarity=0.39285714285714285, subjectivity=0.5178571428571428)
Sentiment(polarity=0.225, subjectivity=0.45)
Sentiment(polarity=0.5, subjectivity=0.5)
Sentiment(polarity=0.15578231292517006, subjectivity=0.6680272108843538)
Sentiment(polarity=-0.2833333333333333, subjectivity=0.5666666666666667)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.04545454545454548, subjectivity=0.4090909090909091)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.2, subjectivity=0.30000000000000004)
Sentiment(polarity=0.1, subjectivity=0.3)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.7, subjectivity=0.2)
Sentiment(polarity=-0.2, subjectivity=0.3333333333333333)
Sentiment(polarity=0.14946428571428572, subjectivity=0.5107142857142858)
Sentiment(polarity=0.5, subjectivity=0.5)
Sentiment(polarity=0.0, subjectivity=0.0)
Sentiment(polarity=0.32916666666666666, subjectivity=0.6958333333333333)
